Part number,Quantity,References,Value,LCSC Part #,Footprint
0402WGF2200TCE,27,"R1,R3,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R33,R35,R37,R39,R41,R43,R45,R47,R49,R51,R53",220R,C25091,0402
0402WGF3300TCE,27,"R2,R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24,R26,R28,R30,R32,R34,R36,R38,R40,R42,R44,R46,R48,R50,R52,R54",330R,C25104 ,0402
