Part number,Quantity,References,Value,LCSC Part #,Footprint
0402WGF2200TCE,9,"R1,R3,R5,R7,R9,R47,R49,R51,R53",220R,C25091,402
0402WGF3300TCE,9,"R2,R4,R6,R8,R10,R48,R50,R52,R54",330R,C25104 ,402
